,wind speed ,direction
2014-04-02-18-30,5.3600000000000003,131.69999999999999
2014-04-02-18-40,5.1100000000000003,130.30000000000001
2014-04-02-18-49,5.2000000000000002,126.90000000000001
2014-04-02-18-59,4.7599999999999998,123.5
2014-04-02-19-10,5.0999999999999996,123.90000000000001
2014-04-02-19-20,5.4100000000000001,126.3
2014-04-02-19-30,5.1500000000000004,124.59999999999999
2014-04-02-19-40,5.21,123.7
2014-04-02-19-50,5.0300000000000002,117.59999999999999
2014-04-02-20-00,4.8799999999999999,116.2
2014-04-02-20-10,4.9299999999999997,116.8
2014-04-02-20-19,4.8099999999999996,114.5
2014-04-02-20-29,4.6200000000000001,118.59999999999999
2014-04-02-20-40,4.8200000000000003,125.0
2014-04-02-20-50,4.6399999999999997,123.90000000000001
2014-04-02-21-00,5.0599999999999996,128.0
2014-04-02-21-10,5.2599999999999998,126.2
2014-04-02-21-20,5.3600000000000003,127.40000000000001
2014-04-02-21-30,5.71,130.69999999999999
2014-04-02-21-40,5.6399999999999997,128.19999999999999
2014-04-02-21-49,5.4299999999999997,131.90000000000001
2014-04-02-21-59,4.8600000000000003,127.2
2014-04-02-22-10,4.8899999999999997,126.40000000000001
2014-04-02-22-20,4.7999999999999998,129.59999999999999
2014-04-02-22-30,4.8600000000000003,126.5
2014-04-02-22-40,4.6799999999999997,126.90000000000001
2014-04-02-22-50,4.4100000000000001,121.09999999999999
2014-04-02-23-00,3.8599999999999999,128.30000000000001
2014-04-02-23-10,3.8399999999999999,131.90000000000001
2014-04-02-23-19,3.77,129.30000000000001
2014-04-02-23-29,2.8799999999999999,113.09999999999999
2014-04-02-23-40,2.7400000000000002,118.5
2014-04-02-23-50,2.8999999999999999,127.5
2014-04-03-00-00,3.27,132.09999999999999
2014-04-03-00-10,3.6499999999999999,137.0
2014-04-03-00-20,3.77,135.19999999999999
2014-04-03-00-30,3.48,133.30000000000001
2014-04-03-00-40,3.3900000000000001,134.90000000000001
2014-04-03-00-49,3.8199999999999998,151.30000000000001
2014-04-03-00-59,3.6899999999999999,156.90000000000001
2014-04-03-01-10,3.5699999999999998,163.0
2014-04-03-01-20,3.3100000000000001,163.0
2014-04-03-01-30,3.48,175.5
