,u,v,depth
2009-09-09-23-00,3.2799999999999998,0.54000000000000004,62.0
2009-09-10-00-00,0.81000000000000005,1.49,62.0
2009-09-10-00-59,-3.0499999999999998,-2.77,62.0
2009-09-10-02-00,-3.3799999999999999,5.1600000000000001,62.0
2009-09-10-03-00,1.29,2.3599999999999999,62.0
2009-09-10-03-59,-1.76,-5.7300000000000004,62.0
2009-09-10-05-00,-2.5600000000000001,-3.3500000000000001,62.0
2009-09-10-06-00,-2.73,-4.5499999999999998,62.0
2009-09-10-06-59,-3.3199999999999998,-0.76000000000000001,62.0
2009-09-10-08-00,-0.66000000000000003,2.6200000000000001,62.0
2009-09-10-09-00,2.8999999999999999,0.42999999999999999,62.0
2009-09-10-09-59,5.0700000000000003,0.13,62.0
2009-09-10-11-00,12.869999999999999,0.53000000000000003,62.0
2009-09-10-12-00,6.0099999999999998,-10.220000000000001,62.0
2009-09-10-12-59,-2.6600000000000001,-4.4299999999999997,62.0
2009-09-10-14-00,-3.23,-8.5500000000000007,62.0
2009-09-10-15-00,-2.0800000000000001,3.5600000000000001,62.0
2009-09-10-15-59,-5.8499999999999996,2.5600000000000001,62.0
2009-09-10-17-00,-2.9900000000000002,-2.23,62.0
2009-09-10-18-00,-6.7199999999999998,-11.24,62.0
2009-09-10-18-59,-5.96,-15.6,62.0
2009-09-10-20-00,0.029999999999999999,-11.140000000000001,62.0
2009-09-10-21-00,-2.71,-9.9600000000000009,62.0
2009-09-10-21-59,-6.6799999999999997,2.5299999999999998,62.0
2009-09-10-23-00,-4.8499999999999996,6.5999999999999996,62.0
2009-09-11-00-00,-3.6899999999999999,6.21,62.0
2009-09-11-00-59,-1.5,5.5,62.0
2009-09-11-02-00,-2.2799999999999998,8.5,62.0
2009-09-11-03-00,-12.24,6.9400000000000004,62.0
2009-09-11-03-59,-2.7999999999999998,4.5999999999999996,62.0
2009-09-11-05-00,-2.1000000000000001,-11.35,62.0
2009-09-11-06-00,1.23,-2.77,62.0
2009-09-11-06-59,-1.5800000000000001,-5.9900000000000002,62.0
2009-09-11-08-00,-6.0599999999999996,-7.0800000000000001,62.0
2009-09-11-09-00,-6.8399999999999999,-10.44,62.0
2009-09-11-09-59,3.1899999999999999,-13.029999999999999,62.0
2009-09-11-11-00,-7.5099999999999998,-2.8199999999999998,62.0
2009-09-11-12-00,3.29,5.1299999999999999,62.0
2009-09-11-12-59,-1.74,0.94999999999999996,62.0
2009-09-11-14-00,-3.7400000000000002,1.4099999999999999,62.0
2009-09-11-15-00,-0.47999999999999998,0.58999999999999997,62.0
2009-09-11-15-59,-4.9299999999999997,3.6600000000000001,62.0
2009-09-11-17-00,-1.9099999999999999,-3.79,62.0
2009-09-11-18-00,-2.5499999999999998,-8.0399999999999991,62.0
2009-09-11-18-59,-3.5,-9.7699999999999996,62.0
2009-09-11-20-00,-6.2999999999999998,-17.989999999999998,62.0
2009-09-11-21-00,-16.16,-16.710000000000001,62.0
2009-09-11-21-59,-8.1199999999999992,-1.4399999999999999,62.0
2009-09-11-23-00,-0.080000000000000002,2.0600000000000001,62.0
2009-09-12-00-00,-1.25,13.18,62.0
2009-09-12-00-59,5.7400000000000002,6.3700000000000001,62.0
2009-09-12-02-00,2.1200000000000001,5.21,62.0
2009-09-12-03-00,-1.45,4.2599999999999998,62.0
2009-09-12-03-59,1.4199999999999999,-3.4399999999999999,62.0
2009-09-12-05-00,2.9300000000000002,-7.8899999999999997,62.0
2009-09-12-06-00,-6.5800000000000001,-8.4900000000000002,62.0
2009-09-12-06-59,-2.0699999999999998,-12.17,62.0
2009-09-12-08-00,0.72999999999999998,-11.039999999999999,62.0
2009-09-12-09-00,-3.79,-8.4000000000000004,62.0
2009-09-12-09-59,-3.1800000000000002,-16.559999999999999,62.0
2009-09-12-11-00,-16.600000000000001,-10.58,62.0
2009-09-12-12-00,-0.66000000000000003,4.3899999999999997,62.0
2009-09-12-12-59,4.1600000000000001,-0.34999999999999998,62.0
2009-09-12-14-00,3.0899999999999999,2.2599999999999998,62.0
2009-09-12-15-00,-0.92000000000000004,-1.8300000000000001,62.0
2009-09-12-15-59,3.9900000000000002,0.95999999999999996,62.0
2009-09-12-17-00,0.92000000000000004,2.5600000000000001,62.0
2009-09-12-18-00,-1.1599999999999999,1.1200000000000001,62.0
2009-09-12-18-59,-4.6200000000000001,-0.93999999999999995,62.0
2009-09-12-20-00,-0.02,-7.4000000000000004,62.0
2009-09-12-21-00,-10.949999999999999,-10.289999999999999,62.0
2009-09-12-21-59,-5.9900000000000002,-6.2300000000000004,62.0
2009-09-12-23-00,-9.3000000000000007,-2.4100000000000001,62.0
2009-09-13-00-00,-5.3799999999999999,4.1600000000000001,62.0
2009-09-13-00-59,-1.4099999999999999,1.98,62.0
2009-09-13-02-00,1.7,-4.4000000000000004,62.0
2009-09-13-03-00,1.3899999999999999,-2.6200000000000001,62.0
2009-09-13-03-59,-1.03,-1.45,62.0
2009-09-13-05-00,-1.47,1.45,62.0
2009-09-13-06-00,-6.5899999999999999,3.2799999999999998,62.0
2009-09-13-06-59,-0.71999999999999997,-0.72999999999999998,62.0
2009-09-13-08-00,-7.2300000000000004,-6.2800000000000002,62.0
2009-09-13-09-00,3.1400000000000001,-6.4800000000000004,62.0
2009-09-13-09-59,1.47,-14.99,62.0
2009-09-13-11-00,-7.75,-4.1399999999999997,62.0
2009-09-13-12-00,-12.06,-2.5899999999999999,62.0
2009-09-13-12-59,-3.0600000000000001,-1.3100000000000001,62.0
2009-09-13-14-00,0.96999999999999997,3.8199999999999998,62.0
2009-09-13-15-00,-1.3,6.5999999999999996,62.0
2009-09-13-15-59,0.29999999999999999,4.6699999999999999,62.0
2009-09-13-17-00,1.27,2.77,62.0
2009-09-13-18-00,0.51000000000000001,2.54,62.0
2009-09-13-18-59,-1.3100000000000001,1.28,62.0
2009-09-13-20-00,0.02,-5.4100000000000001,62.0
2009-09-13-21-00,-1.49,-2.73,62.0
2009-09-13-21-59,-3.9199999999999999,-0.82999999999999996,62.0
2009-09-13-23-00,-14.630000000000001,-6.2599999999999998,62.0
2009-09-14-00-00,-6.4800000000000004,-1.3700000000000001,62.0
2009-09-14-00-59,-5.1299999999999999,-3.48,62.0
2009-09-14-02-00,-3.1299999999999999,2.52,62.0
2009-09-14-03-00,2.7000000000000002,0.37,62.0
2009-09-14-03-59,4.04,1.49,62.0
2009-09-14-05-00,0.38,0.11,62.0
2009-09-14-06-00,-1.99,6.8099999999999996,62.0
2009-09-14-06-59,-4.0,0.5,62.0
2009-09-14-08-00,-0.11,-0.34000000000000002,62.0
2009-09-14-09-00,3.2200000000000002,-4.5800000000000001,62.0
2009-09-14-09-59,3.8599999999999999,-9.2899999999999991,62.0
2009-09-14-11-00,-3.8599999999999999,-4.25,62.0
2009-09-14-12-00,-2.6800000000000002,-5.79,62.0
2009-09-14-12-59,-1.6100000000000001,-6.6200000000000001,62.0
2009-09-14-14-00,0.34000000000000002,-1.8799999999999999,62.0
2009-09-14-15-00,2.23,6.2800000000000002,62.0
2009-09-14-15-59,-1.49,2.5899999999999999,62.0
2009-09-14-17-00,0.48999999999999999,2.23,62.0
2009-09-14-18-00,-2.6400000000000001,0.47999999999999998,62.0
2009-09-14-18-59,-0.64000000000000001,-0.28999999999999998,62.0
2009-09-14-20-00,-12.15,1.6599999999999999,62.0
2009-09-14-21-00,-2.1400000000000001,-2.29,62.0
2009-09-14-21-59,0.5,0.77000000000000002,62.0
2009-09-14-23-00,-3.8999999999999999,-2.7000000000000002,62.0
2009-09-15-00-00,-0.72999999999999998,-0,62.0
2009-09-15-00-59,2.5699999999999998,-2.3700000000000001,62.0
2009-09-15-02-00,-4.0,-0.23000000000000001,62.0
2009-09-15-03-00,3.1600000000000001,0.60999999999999999,62.0
2009-09-15-03-59,-5.4900000000000002,-3.6899999999999999,62.0
2009-09-15-06-59,-22.199999999999999,2.1600000000000001,62.0
2009-09-15-09-00,-7.0899999999999999,-2.4900000000000002,62.0
2009-09-15-09-59,4.8600000000000003,-0.23999999999999999,62.0
2009-09-15-11-00,-0.48999999999999999,8.0899999999999999,62.0
2009-09-15-12-00,-5.6100000000000003,-1.8500000000000001,62.0
2009-09-15-12-59,-2.7200000000000002,6.8099999999999996,62.0
2009-09-15-14-00,-2.3399999999999999,0.88,62.0
2009-09-15-15-00,3.1000000000000001,-0.96999999999999997,62.0
2009-09-15-15-59,2.75,2.3700000000000001,62.0
2009-09-15-17-00,2.0299999999999998,2.6800000000000002,62.0
2009-09-15-18-00,2.8399999999999999,-0.11,62.0
2009-09-15-18-59,-1.47,0.40000000000000002,62.0
2009-09-15-20-00,-3.4399999999999999,3.5800000000000001,62.0
2009-09-15-21-00,-1.55,-1.8100000000000001,62.0
2009-09-15-21-59,-1.27,1.5,62.0
2009-09-15-23-00,-0.51000000000000001,4.2300000000000004,62.0
2009-09-16-00-00,-3.52,6.6799999999999997,62.0
2009-09-16-00-59,-4.7000000000000002,6.4400000000000004,62.0
2009-09-16-02-00,1.28,1.3100000000000001,62.0
2009-09-16-03-00,2.71,-1.0800000000000001,62.0
2009-09-16-03-59,7.4199999999999999,0.28999999999999998,62.0
2009-09-16-05-00,12.75,-0.85999999999999999,62.0
2009-09-16-06-00,0.38,5.8399999999999999,62.0
2009-09-16-06-59,6.3600000000000003,6.7599999999999998,62.0
2009-09-16-08-00,1.72,3.73,62.0
2009-09-16-09-00,-4.1100000000000003,-2.3500000000000001,62.0
2009-09-16-09-59,5.1900000000000004,-4.21,62.0
2009-09-16-11-00,-1.3400000000000001,-7.8899999999999997,62.0
2009-09-16-12-00,-0.48999999999999999,-3.6800000000000002,62.0
2009-09-16-12-59,-2.3399999999999999,-4.1200000000000001,62.0
2009-09-16-14-00,4.2800000000000002,-3.96,62.0
2009-09-16-15-00,0.88,-0.89000000000000001,62.0
2009-09-16-15-59,2.5099999999999998,1.05,62.0
2009-09-16-17-00,6.5999999999999996,1.3,62.0
2009-09-16-18-00,0.96999999999999997,4.8700000000000001,62.0
2009-09-16-18-59,-4.2199999999999998,9.0800000000000001,62.0
2009-09-16-20-00,-2.3300000000000001,7.2400000000000002,62.0
2009-09-16-21-00,-5.96,-1.01,62.0
2009-09-16-21-59,-9.0399999999999991,2.0499999999999998,62.0
2009-09-16-23-00,-1.9099999999999999,2.25,62.0
2009-09-17-00-00,1.5800000000000001,-0.059999999999999998,62.0
2009-09-17-00-59,-0.85999999999999999,-7.0199999999999996,62.0
