,current speed,direction,u,v
2003-02-08-03-00,12.91,136.94999999999999,8.8100000000000005,-9.4299999999999997
2003-02-08-03-59,8.8000000000000007,146.78999999999999,4.8200000000000003,-7.3600000000000003
2003-02-08-05-00,8.5099999999999998,141.52000000000001,5.29,-6.6600000000000001
2003-02-08-06-00,15.539999999999999,161.21000000000001,5.0099999999999998,-14.720000000000001
2003-02-08-06-59,20.82,174.56999999999999,1.97,-20.73
2003-02-08-08-00,15.25,180.19,-0.050000000000000003,-15.25
2003-02-08-09-00,16.420000000000002,147.49000000000001,8.8300000000000001,-13.85
2003-02-08-09-59,17.600000000000001,113.39,16.149999999999999,-6.9900000000000002
2003-02-08-11-00,11.73,119.72,10.19,-5.8200000000000003
2003-02-08-12-00,18.18,97.920000000000002,18.010000000000002,-2.5099999999999998
2003-02-08-12-59,18.18,92.640000000000001,18.170000000000002,-0.83999999999999997
2003-02-08-14-00,21.699999999999999,75.769999999999996,21.039999999999999,5.3399999999999999
2003-02-08-15-00,23.170000000000002,84.209999999999994,23.050000000000001,2.3399999999999999
2003-02-08-15-59,16.129999999999999,95.459999999999994,16.059999999999999,-1.53
2003-02-08-17-00,21.41,92.290000000000006,21.390000000000001,-0.85999999999999999
2003-02-08-18-00,10.85,96.859999999999999,10.77,-1.3
2003-02-08-18-59,17.890000000000001,111.63,16.629999999999999,-6.5999999999999996
2003-02-08-20-00,21.41,108.47,20.309999999999999,-6.7800000000000002
2003-02-08-21-00,27.859999999999999,97.219999999999999,27.640000000000001,-3.5
2003-02-08-21-59,24.93,104.59999999999999,24.129999999999999,-6.2800000000000002
2003-02-08-23-00,27.280000000000001,100.03,26.859999999999999,-4.75
2003-02-09-00-00,29.329999999999998,78.930000000000007,28.780000000000001,5.6299999999999999
2003-02-09-00-59,25.52,82.099999999999994,25.27,3.5099999999999998
2003-02-09-02-00,25.219999999999999,83.849999999999994,25.079999999999998,2.7000000000000002
2003-02-09-03-00,18.77,95.810000000000002,18.670000000000002,-1.8999999999999999
2003-02-09-03-59,5.5700000000000003,56.079999999999998,4.6200000000000001,3.1099999999999999
2003-02-09-05-00,10.56,89.480000000000004,10.56,0.10000000000000001
2003-02-09-06-00,14.66,90.180000000000007,14.66,-0.050000000000000003
2003-02-09-06-59,6.1600000000000001,91.239999999999995,6.1600000000000001,-0.13
2003-02-09-08-00,9.0899999999999999,97.920000000000002,9.0099999999999998,-1.25
2003-02-09-09-00,17.890000000000001,126.05,14.470000000000001,-10.529999999999999
2003-02-09-09-59,16.420000000000002,90.890000000000001,16.420000000000002,-0.25
2003-02-09-11-00,16.129999999999999,113.04000000000001,14.85,-6.3099999999999996
2003-02-09-12-00,23.170000000000002,91.590000000000003,23.16,-0.64000000000000001
2003-02-09-12-59,22.879999999999999,84.209999999999994,22.760000000000002,2.3100000000000001
2003-02-09-14-00,20.82,80.340000000000003,20.530000000000001,3.4900000000000002
2003-02-09-15-00,16.420000000000002,102.48999999999999,16.039999999999999,-3.5499999999999998
2003-02-09-15-59,12.32,71.549999999999997,11.69,3.8999999999999999
2003-02-09-17-00,11.73,86.319999999999993,11.710000000000001,0.75
2003-02-09-18-00,10.56,121.12,9.0399999999999991,-5.46
2003-02-09-18-59,5.5700000000000003,140.81,3.52,-4.3200000000000003
2003-02-09-20-00,14.369999999999999,114.44,13.08,-5.9500000000000002
2003-02-09-21-00,16.719999999999999,119.72,14.52,-8.2899999999999991
2003-02-09-21-59,13.789999999999999,107.41,13.15,-4.1200000000000001
2003-02-09-23-00,15.84,91.239999999999995,15.83,-0.34000000000000002
